Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Runtime_unit,Gross_unit
Astro Boy,(2009),"Animation, Action, Comedy",94,6.3,19.55,31.441,53.0,min,M
Chéri,(2009),"Comedy, Drama, Romance",100,6.2,2.71,10.258,63.0,min,M
12 Rounds,(2009),"Action, Crime, Thriller",108,5.6,12.23,26.402,38.0,min,M
I Am Here... Now,(2009),"Crime, Drama, Fantasy",87,4.9,,1.651,,min,
Espero que Sirvam Cerveja no Inferno,(2009),Comedy,105,5.3,1.43,8.082,26.0,min,M
O Melhor Pai do Mundo,(I) (2009),"Comedy, Drama",99,6.9,0.22,36.074,69.0,min,M
Não Me Esqueça,(II) (2009),"Horror, Romance, Thriller",103,5.2,,5.601,,min,
Gentlemen Broncos,(2009),"Adventure, Comedy, Sci-Fi",89,6.2,0.11,10.532,28.0,min,M
Hunger,(I) (2009),"Action, Crime, Horror",101,5.3,,4.516,,min,
Ondine,(2009),"Drama, Mystery, Romance",111,6.8,0.55,19.358,65.0,min,M
Kimssi pyoryugi,(2009),"Drama, Romance",116,8.1,3.73,15.008,,min,M
Mystery Team,(2009),"Comedy, Crime, Mystery",97,6.7,0.08,8.535,42.0,min,M
Madea Goes to Jail,(2009),"Comedy, Crime, Drama",103,4.4,90.49,11.054,50.0,min,M
A Vítima Perfeita,(2009),"Drama, Thriller",107,6.4,,4.485,,min,
Por Amor,(2009),Drama,106,6.2,,8.004,,min,
Fama,(2009),"Comedy, Drama, Musical",107,5.1,22.46,15.574,39.0,min,M
Vingança Entre Assassinos,(2009),"Action, Thriller",95,6.1,,33.360,,min,
Noite dos Demônios,(2009),"Action, Comedy, Horror",93,4.7,,6.840,,min,
Amelia,(2009),"Adventure, Biography, Drama",111,5.8,14.24,11.577,37.0,min,M
Tsunami: A Fúria do Oceano,(2009),"Action, Drama",120,5.6,,3.587,,min,
Através do Tempo,(2009),"Adventure, Drama, Fantasy",92,6.7,,4.265,,min,
Duplicidade,(2009),"Comedy, Crime, Romance",125,6.1,40.57,45.848,69.0,min,M
Perguntas Mais Frequentes Sobre Viagem No Tempo,(2009),"Comedy, Sci-Fi",83,7.1,,31.022,,min,
Redline: Perigo Nas Pistas,(2009),"Animation, Action, Romance",102,7.5,,10.062,,min,
"Meu Filho, Olha o Que Fizeste!",(2009),"Drama, Thriller",91,6.3,,9.115,59.0,min,
Código de Sangue,(2009),"Crime, Drama",95,5.8,,6.388,47.0,min,
Nascido na Esperança,(2009),"Action, Adventure, Fantasy",71,6.2,,2.061,,min,
Segredos de um Funeral,(2009),"Drama, Mystery",103,7.0,9.18,21.525,77.0,min,M
Criação,(I) (2009),"Biography, Drama, Romance",108,6.7,0.34,13.354,51.0,min,M
