Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
Andres de Saya Mabagsik na daw,(1982),Comedy,,,,,,Carlo J. Caparas,":
Vic Vargas, 
Gloria Diaz, 
Carmi Martin, 
Cachupoy
",,
Noites Paraguayas,(1982),Drama,93,6.2,,8,,Aloysio Raulino,":
Osmar Afrisio, 
Índio Alberto, 
Narciso Assunpção, 
Chiquinho Brandão
",min,
O Agios Prevezis,(1982),Drama,92,6.0,,38,,Dimitris Kollatos,":
Kostas Karagiorgis, 
Eleni Morali, 
Vasilis Kailas, 
Maria Tsakalidou
",min,
Luo shen chuan,(1982),"Drama, History",100,,,,,Mei Chun Chang,":
Hsiu-Ling Lu, 
Pei Hua Chang, 
Chung-Yueh Yun, 
Ying Bai
",min,
Karabiny,(1982),Drama,93,,,,,Waldemar Podgórski,":
Ignacy Gogolewski, 
Jerzy Janeczek, 
Slawomira Lozinska, 
Krzysztof Chamiec
",min,
Srochno... sekretno... Gubcheka,(1982),Action,90,5.7,,11,,Aleksandr Kosarev,":
Stepan Yemelyanov, 
Irina Korotkova, 
Pyotr Velyaminov, 
Sergey Martynov
",min,
Naat Bou,(1982),Comedy,,,,,,Chotku Ahmed,":
Abdur Razzak, 
Bobita, 
Prabir Mitra, 
Nuton
",,
Ee Nadu,(1982),,181,7.4,,19,,I.V. Sasi,":
P.K. Abraham, 
Lalu Alex, 
Nellikode Bhaskaran, 
Trichur Elsi
",min,
Sultan Beybars,(1982),"Biography, History",72,7.5,,23,,Bulat Mansurov,":
Nurmukhan Zhanturin, 
Daulet Bejsenov, 
Tatyana Plotnikova, 
Boris Khmelnitskiy
",min,
"Good Morning, Professor",(1982),Comedy,,,,,,Frank Gray Jr.,":
Dolphy, 
Alma Moreno, 
Panchito, 
Ronnie Ricketts
",,
Aidankaatajat eli heidän jälkeensä vedenpaisumus,(1982),"Comedy, Drama",104,5.5,,16,,Olli Soinio,":
Erkki Pajala, 
Martti Kainulainen, 
Toivo Tuomainen, 
Ismo Saario
",min,
Sconcerto Rock,(1982),,92,,,,,Luciano Manuzzi,":
Victor Cavallo, 
Giorgio Celli, 
Giuseppina Galeazzi, 
Nella Gambini
",min,
Thorvald og Linda,(1982),Drama,88,3.8,,16,,Lene Grønlykke,":
Stina Ekblad, 
Carsten Bang, 
Aksel Erhardtsen, 
Erik Paaske
",min,
Bijayini,(1982),Drama,,,,,,Palash Bandopadhyay,":
Aparna Sen, 
Soumitra Chatterjee, 
Ranjit Mallick, 
Bhanu Bannerjee
",,
Save the Lady,(1982),"Adventure, Comedy, Drama",75,7.5,,10,,Leon Thau,":
Miranda Cartledge, 
Robert Clarkson, 
Mathew Excell, 
Kim Clifford
",min,
Oi yan nui san,(1982),"Drama, Romance",85,4.4,,13,,Anthony Tung-Lei Ho,":
Alan Tam, 
Pak-Cheung Chan, 
Wai Yiu, 
Michael Wai-Man Chan
",min,
Carbanice,(1982),,86,6.4,,8,,Eva Stefankovicová,":
Jan Censký, 
Bohumil Kostrec, 
Zuzana Krónerová, 
Teodor Pasternak
",min,
