Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
"Sexo, Pudor E Lágrimas",(1999),"
Comedy, Drama            ",109 min,6.6,,"2,283",,Antonio Serrano,":
Demián Bichir, 
Susana Zabaleta, 
Jorge Salinas, 
Cecilia Suárez
"
Baadshah,(1999),"
Action, Comedy, Crime            ",175 min,6.9,,"15,750",,Abbas Alibhai Burmawalla,":
Shah Rukh Khan, 
Twinkle Khanna, 
Amrish Puri, 
Johnny Lever
"
Trailer Park Boys,(1999),"
Comedy            ",67 min,8.0,,"3,253",,Mike Clattenburg,":
John Paul Tremblay, 
Robb Wells, 
Lucy Decoutere, 
Jeanna Harrison
"
Gloomy Sunday - Ein Lied von Liebe und Tod,(1999),"
Romance, Drama            ",112 min,7.8,$0.22M,"6,898",60        ,Rolf Schübel,":
Joachim Król, 
Erika Marozsán, 
Stefano Dionisi, 
Ben Becker
"
Uma Relação Pornográfica,(1999),"
Drama, Romance            ",80 min,7.1,$0.35M,"5,055",67        ,Frédéric Fonteyne,":
Nathalie Baye, 
Sergi López, 
Jacques Viala, 
Paul Pavel
"
8 ½ Mulheres,(1999),"
Comedy, Drama            ",118 min,5.8,$0.42M,"3,677",36        ,Peter Greenaway,":
John Standing, 
Matthew Delamere, 
Vivian Wu, 
Toni Collette
"
Just Looking,(1999),"
Comedy, Drama            ",97 min,6.7,$0.04M,"1,363",45        ,Jason Alexander,":
Richard V. Licata, 
Marcell Rosenblatt, 
Ryan Merriman, 
Patti LuPone
"
"Meus Vizinhos, Os Yamadas",(1999),"
Animation, Comedy, Family            ",104 min,7.2,,"9,275",75        ,Isao Takahata,":
Yukiji Asaoka, 
Tôru Masuoka, 
Masako Araki, 
Hayato Isohata
"
Méditerranées,(1999),"
Crime, Drama            ",100 min,4.7,,359,,Philippe Bérenger,":
Vincent Cassel, 
Enrico Lo Verso, 
Monica Bellucci, 
Richard Bohringer
"
O Grande Desafio,(1999),"
Action, Comedy, Romance            ",121 min,6.1,,"10,529",,Vincent Kok,":
Jackie Chan, 
Qi Shu, 
Tony Chiu-Wai Leung, 
Emil Chau
"
Desejos,(1999),"
Drama, Romance            ",87 min,4.5,,266,,Eric Gibson,":
Tamara Landry, 
Steven Ginsburg, 
Susan Featherly, 
Peggy Trentini
"
A Língua das Mariposas,(1999),"
Drama            ",96 min,7.6,$2.09M,"7,693",69        ,José Luis Cuerda,":
Manuel Lozano, 
Fernando Fernán Gómez, 
Uxía Blanco, 
Gonzalo Uriarte
"
Harem Suare,(1999),"
Drama, History            ",125 min,6.2,,"2,524",,Ferzan Ozpetek,":
Marie Gillain, 
Alex Descas, 
Lucia Bosè, 
Valeria Golino
"
The Awakening of Gabriella,(1999),"
Drama            ",93 min,4.8,,312,,Carlton McRae,":
Susan Featherly, 
Mark Ritter, 
Jeannie Millar, 
Taimie Hannum
"
Godzilla 2000,(1999),"
Action, Adventure, Drama            ",99 min,6.1,$10.04M,"7,052",41        ,Takao Okawara,":
Takehiro Murata, 
Hiroshi Abe, 
Naomi Nishida, 
Mayu Suzuki
"
Hei kek ji wong,(1999),"
Comedy, Drama, Romance            ",85 min,7.3,,"5,905",,Stephen Chow,":
Stephen Chow, 
Karen Mok, 
Cecilia Cheung, 
Man-Tat Ng
"
A Chave do Sucesso,(1999),"
Drama, Comedy            ",90 min,6.6,$3.15M,"13,573",56        ,John Swanbeck,":
Kevin Spacey, 
Danny DeVito, 
Peter Facinelli, 
Paul Dawson
"
Morcegos,(1999),"
Horror, Sci-Fi, Thriller            ",91 min,3.9,$10.16M,"9,220",23        ,Louis Morneau,":
Lou Diamond Phillips, 
Dina Meyer, 
Bob Gunton, 
Leon
"
Sensualidade Virtual,(1999),"
Comedy, Drama, Romance            ",92 min,5.0,$0.04M,"2,739",,Nick Hurran,":
Laura Fraser, 
Rupert Penry-Jones, 
Luke de Lacey, 
Kieran O'Brien
"
O Chamado 2,(1999),"
Horror, Mystery, Sci-Fi            ",95 min,5.9,,"11,890",,Hideo Nakata,":
Miki Nakatani, 
Hitomi Satô, 
Kyoko Fukada, 
Fumiyo Kohinata
"
Suando Frio,(1999),"
Action, Adventure, Comedy            ",102 min,5.2,$11.23M,"9,039",33        ,Hugh Johnson,":
Cuba Gooding Jr., 
Skeet Ulrich, 
Peter Firth, 
David Paymer
"
Livre para Amar,(1999),"
Comedy, Drama            ",102 min,6.7,$1.28M,"3,138",75        ,Gavin O'Connor,":
Janet McTeer, 
Kimberly J. Brown, 
Jay O. Sanders, 
Gavin O'Connor
"
What Becomes of the Broken Hearted?,(1999),"
Crime, Drama, Thriller            ",108 min,6.4,,"3,064",,Ian Mune,":
Temuera Morrison, 
Rena Owen, 
Clint Eruera, 
Nancy Brunning
"
Entre as Pernas,(1999),"
Drama, Mystery, Romance            ",115 min,6.2,,"2,626",,Manuel Gómez Pereira,":
Victoria Abril, 
Javier Bardem, 
Carmelo Gómez, 
Juan Diego
"
The Protagonists,(1999),"
Crime, Thriller            ",92 min,6.2,,286,,Luca Guadagnino,":
Tilda Swinton, 
Fabrizia Sacchi, 
Andrew Tiernan, 
Claudio Gioè
"
