Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore
Luar sobre Parador,(1988),"
Comedy, Romance            ",103 min,6.0,$11.44M,"5,189",
Uma Alucinante Viagem,(1988),"
Comedy            ",97 min,5.8,$11.01M,"4,388",
Um Punhado de Pó,(1988),"
Drama, Romance            ",118 min,6.7,$1.56M,"1,699",
Dia Fatal,(1988),"
Crime, Drama, Music            ",93 min,6.3,$1.79M,"3,402",
Uma Estranha em Los Angeles,(1988),"
Adventure, Comedy, Sci-Fi            ",87 min,2.8,,"3,283",
Festim do Inferno,(1988),"
Comedy, Horror            ",89 min,4.2,,730,
Um Mundo à Parte,(1988),"
Drama            ",112 min,6.8,$2.33M,"1,375",
Deathstalker 3: Os Guerreiros do Inferno,(1988),"
Action, Adventure, Fantasy            ",86 min,2.8,,"1,730",
Sem Amanhã,(1988),"
Drama            ",105 min,5.0,$6.64M,"1,636",
O Príncipe da Pensilvânia,(1988),"
Comedy, Drama            ",87 min,5.8,,"1,023",
Herança de um Valente II,(1988),"
Adventure, Drama, Western            ",110 min,6.6,$13.69M,"2,173",
A Armadilha de Vênus,(1988),"
Comedy, Drama, Romance            ",107 min,5.8,,378,
Assassinato em Hollywood,(1988),"
Crime, Mystery, Thriller            ",102 min,5.7,$4.59M,"3,690",
A Cidade Fantasma,(1988),"
Action, Horror, Western            ",85 min,5.4,,"1,120",
Uma Jornada Além da Loucura,(1988),"
Horror, Thriller            ",103 min,6.6,,"3,641",
Dragões para Sempre,(1988),"
Action, Comedy, Romance            ",93 min,7.3,,"6,677",
Um Alienígena do Barulho,(1988),"
Comedy, Family, Sci-Fi            ",90 min,4.7,,873,
Herói sem Pátria,(1988),"
Action, Crime, Drama            ",105 min,5.6,$0.19M,"2,090",
A Abominável Criatura,(1988),"
Horror            ",87 min,4.9,,"2,059",
Robo Vampire,(1988),"
Action, Horror, Sci-Fi            ",90 min,3.7,,909,
Witchcraft,(1988),"
Horror            ",95 min,3.2,,611,
Zombi 3,(1988),"
Action, Horror, Sci-Fi            ",95 min,4.9,,"4,138",
A Guerra do Chocolate,(1988),"
Drama            ",100 min,6.7,$0.30M,"1,964",
Paradiso infernale,(1988),"
Action, Adventure, Crime            ",90 min,3.9,,661,
O Cavalo Falante,(1988),"
Comedy, Fantasy            ",83 min,4.5,$6.44M,"2,952",22        
Necromancer,(1988),"
Horror            ",88 min,4.0,,380,
A Maldição dos Espantalhos,(1988),"
Action, Crime, Horror            ",83 min,5.4,,"4,291",
Robowar - Robot da guerra,(1988),"
Action, Adventure, Comedy            ",92 min,4.3,,705,
Para Sempre na Memória,(1988),"
Drama, Music, Romance            ",91 min,6.4,$1.89M,"1,811",
Outlaw of Gor,(1988),"
Action, Fantasy, Sci-Fi            ",89 min,2.2,,"1,456",
Drácula em Veneza,(1988),"
Horror            ",97 min,5.2,,756,
Grotesk,(1988),"
Horror            ",89 min,4.3,,759,
A Guerra Cruel,(1988),"
War, Drama            ",97 min,5.4,$1.35M,"1,482",
"A Volta de Jack, o Estripador",(1988),"
Crime, Horror, Mystery            ",97 min,5.9,$0.49M,"2,419",
Águia de Aço II,(1988),"
Action, Drama, Romance            ",105 min,3.8,$10.50M,"4,532",
Tapeheads: Uma Dupla Muito Louca,(1988),"
Comedy, Music            ",93 min,5.7,$0.34M,"3,680",
Feitiço Diabólico,(1988),"
Drama, Horror, Romance            ",99 min,5.8,$1.94M,"1,972",
Dominick e Eugene,(1988),"
Drama            ",111 min,7.1,$3.08M,"2,578",
Troca de Maridos,(1988),"
Comedy, Crime            ",105 min,6.0,$9.13M,"3,169",
High Hopes,(1988),"
Comedy, Drama            ",108 min,7.4,$1.19M,"4,014",84        
Saigon: Império da Violência,(I) (1988),"
Action, Drama, Thriller            ",102 min,6.2,$7.24M,"2,454",
The Frog Prince,(1988),"
Drama, Family, Fantasy            ",86 min,6.6,,617,
Black Roses,(1988),"
Horror, Music            ",90 min,5.0,,"1,246",
Sonho Mortal,(1988),"
Horror, Thriller            ",80 min,5.7,$9.80M,"3,172",
Controle Remoto,(1988),"
Comedy, Romance, Sci-Fi            ",88 min,5.7,,758,
Caçada no Canal da Morte,(1988),"
Action, Crime, Horror            ",114 min,6.6,,"6,694",
Ilegalmente Sua,(1988),"
Comedy            ",102 min,4.2,$0.26M,813,
