Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
Poklosie,(2012),"
Drama, Fantasy, Thriller            ",107 min,7.3,$0.00M,"3,405",62        ,Wladyslaw Pasikowski,":
Ireneusz Czop, 
Jerzy Szymkiewi, 
Wojciech Walasik, 
Zbigniew Zamachowski
"
Au fond des bois,(2010),"
Drama            ",102 min,5.9,,471,,Benoît Jacquot,":
Isild Le Besco, 
Nahuel Pérez Biscayart, 
Jérôme Kircher, 
Bernard Rouquette
"
A Year in Mooring,(2011),"
Drama            ",88 min,5.7,$0.03M,764,34        ,Chris Eyre,":
Josh Lucas, 
Ayelet Zurer, 
James Cromwell, 
Jon Tenney
"
The Casserole Club,(2011),"
Drama            ",95 min,4.9,,119,,Steve Balderson,":
Susan Traylor, 
Kevin Scott Richardson, 
Daniela Sea, 
Mark Booker
"
Terumae romae,(2012),"
Comedy, Fantasy, Sci-Fi            ",108 min,6.4,,"1,954",,Hideki Takeuchi,":
Hiroshi Abe, 
Aya Ueto, 
Kazuki Kitamura, 
Riki Takeuchi
"
Gôkaijâ Goseijâ Sûpâ sentai 199 hîrô daikessen,(2011),"
Action, Sci-Fi            ",84 min,7.7,,97,,Noboru Takemoto,":
Ryôta Ozawa, 
Yûki Yamada, 
Mao Ichimichi, 
Kazuki Shimizu
"
Kalevet,(2010),"
Horror            ",90 min,5.8,,"2,618",,Aharon Keshales,":
Lior Ashkenazi, 
Ania Bukstein, 
Danny Geva, 
Yael Grobglas
"
"Beaches, Buns and Bikinis",(2011),"
Comedy            ",75 min,3.2,,6,,Matt Jenkins,":
Aneela Qureshi, 
Ty Smith, 
Melissa Phelan, 
Adrian Jordan
"
Charlie Zone,(2011),"
Crime, Drama, Thriller            ",103 min,5.4,,294,,Michael Melski,":
Glen Gould, 
Zach Tovey, 
Cindy Sampson, 
Joe Zanetti
"
Olhar Invisível,(2010),"
Drama            ",97 min,6.3,,583,,Diego Lerman,":
Julieta Zylberberg, 
Ailín Salas, 
Osmar Núñez, 
Marta Lubos
"
Pak! Pak! My Dr. Kwak!,(2011),"
Comedy, Fantasy            ",115 min,6.6,,40,,Tony Y. Reyes,":
Vic Sotto, 
Bea Alonzo, 
Zaijian Jaranilla, 
Xyriel Manabat
"
A Batalha pelo Império,(2010),"
Biography, Drama, History            ",125 min,6.2,,"3,488",,Mei Hu,":
Yun-Fat Chow, 
Xun Zhou, 
Jianbin Chen, 
Quan Ren
"
Duelo de Bravos,(2011),"
Action, Adventure, History            ",108 min,4.3,,671,,Tanner Beard,":
Eric Balfour, 
Lou Taylor Pucci, 
Henry Thomas, 
Jenna Dewan
"
The Chameleon,(2010),"
Biography, Crime, Drama            ",106 min,5.6,,"1,827",41        ,Jean-Paul Salomé,":
Marc-André Grondin, 
Ellen Barkin, 
Famke Janssen, 
Emilie de Ravin
"
Keyhole,(2011),"
Drama, Thriller            ",94 min,5.4,$0.02M,"1,330",63        ,Guy Maddin,":
Jason Patric, 
Isabella Rossellini, 
Udo Kier, 
Brooke Palsson
"
Manila Kingpin: The Asiong Salonga Story,(2011),"
Action, Crime, Drama            ",145 min,6.7,,172,,Tikoy Aguiluz,":
Jorge Estregan, 
Roi Vinzon, 
Danny Labra, 
Eddie Tuazon
"
Teen Patti,(2010),"
Crime, Drama, Thriller            ",142 min,4.1,,"1,370",,Leena Yadav,":
Amitabh Bachchan, 
Madhavan, 
Shraddha Kapoor, 
Akkash Basnet
"
Desbravadores: Na Companhia de Estranhos,(2011),"
Action, Drama, History            ",100 min,3.5,,"1,227",,Curt A. Sindelar,":
Christopher Serrone, 
Michael Conner Humphreys, 
Philip De Lorenzo, 
Kyle Erickson
"
Dik Trom,(2010),"
Family            ",85 min,6.1,,724,,Arne Toonen,":
Michael Nierse, 
Eva van der Gucht, 
Marcel Musters, 
Fiona Livingston
"
Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,(2012),"
Animation, Action, Adventure            ",60 min,6.7,,531,,Jeannie Tirado,":
Jeannie Tirado, 
Micah Solusod, 
Aaron Dismuke, 
Bryn Apprill
"
Henrique IV - O Grande Rei da França,(2010),"
Biography, Drama, War            ",155 min,5.9,,"1,197",,Jo Baier,":
Julien Boisselier, 
Joachim Król, 
Andreas Schmidt, 
Roger Casamajor
"
23 Minutes to Sunrise,(2012),"
Drama, Fantasy, Horror            ",79 min,4.2,,555,,Jay Kanzler,":
Eric Roberts, 
Nia Peeples, 
Bob Zany, 
Dingani Beza
"
Masks,(2011),"
Horror, Mystery, Thriller            ",112 min,5.7,,671,,Andreas Marschall,":
Susen Ermich, 
Magdalena Ritter, 
Julita Witt, 
Norbert Losch
"
Revenge for Jolly!,(2012),"
Comedy, Drama            ",81 min,4.6,,"1,244",,Chadd Harbold,":
Brian Petsos, 
Kristen Wiig, 
Elijah Wood, 
Oscar Isaac
"
Jukkalan,(2011),"
Action, Comedy, Crime            ",99 min,5.2,,476,,Petchtai Wongkamlao,":
Petchtai Wongkamlao, 
JeeJa Yanin, 
Kom Chauncheun, 
Bawriboon Chanreuang
"
Benvenuti al nord,(2012),"
Comedy            ",110 min,5.3,,"3,192",,Luca Miniero,":
Claudio Bisio, 
Alessandro Siani, 
Angela Finocchiaro, 
Valentina Lodovini
"
Death Bell 2: Bloody Camp,(2010),"
Horror            ",84 min,5.0,,573,,Seon-Dong Yu,":
Ah-Jin Choi, 
Jeong-eum Hwang, 
Chang-Wook Ji, 
Soo-Ro Kim
"
Kaksparsh,(2012),"
Drama, Family, History            ",140 min,7.9,,702,,Mahesh Manjrekar,":
Sachin Khedekar, 
Priya Bapat, 
Sanjay Kapre, 
Abhijit Kelkar
"
Nocaute,(2010),"
Action, Crime, Thriller            ",90 min,4.5,,"1,143",,Mike Gunther,":
Danny Trejo, 
Eric Balfour, 
Rudy Youngblood, 
Michael Bisping
"
Blackmail Boys,(2010),"
Romance, Thriller            ",69 min,4.2,,152,,Bernard Shumanski,":
Nathan Adloff, 
Taylor Reed, 
Joe Swanberg, 
Danny Rhodes
"
"Beli, beli svet",(2010),"
Drama            ",121 min,6.8,,486,,Oleg Novkovic,":
Uliks Fehmiu, 
Hana Selimovic, 
Jasna Djuricic, 
Nebojsa Glogovac
"
Amor em Pedaços,(2011),"
Comedy, Drama, Romance            ",84 min,6.0,,265,,Gaby Amione,":
Marcel Borràs, 
Saras Gil, 
Artur Busquets, 
Claudia del Campo
"
The Kill Hole,(2012),"
Action, Thriller, War            ",92 min,4.1,,348,39        ,Mischa Webley,":
Chadwick Boseman, 
Tory Kittles, 
Billy Zane, 
Peter Greene
"
Tungsten,(2011),"
Drama            ",100 min,6.8,,463,,Giorgos Georgopoulos,":
Prometheus Aleifer, 
Omiros Poulakis, 
Vangelis Mourikis, 
Tasos Nousias
"
Vanished,(2011),"
Mystery, Thriller            ",90 min,4.3,,182,,Michael Adante,":
Amanda Armstrong, 
Bec Asha, 
Carolyn Bock, 
Michael F Cahill
"
16-Love,(2012),"
Comedy, Family, Romance            ",88 min,5.6,,"1,537",,Adam Lipsius,":
Lindsey Shaw, 
Chandler Massey, 
Keith Coulouris, 
Lindsey Black
"
The Devil Made Me Do It,(2012),"
Crime, Drama, Thriller            ",74 min,7.0,,14,,Al Carretta,":
Georgina Blackledge, 
Al Carretta, 
Mike Chapman, 
Samantha Ervin
"
Sasha,(2010),"
Comedy, Crime, Drama            ",102 min,6.6,,"1,341",,Dennis Todorovic,":
Sasa Kekez, 
Predrag Bjelac, 
Ljubisa Gruicic, 
Zeljka Preksavec
"
Mumbai Pune Mumbai,(2010),"
Drama, Romance            ",101 min,8.0,,"1,482",,Satish Rajwade,":
Swwapnil Joshi, 
Mukta Barve
"
